Event ID,Attack Type,Start Time,End Time,Duration (Samples),Avg RSSI
1183,Rogue SSID,8283,8283,1,-55.0
1185,Evil Twin,8447,8447,1,-59.0
1187,Rogue SSID,3152,3152,1,-67.0
1189,Rogue SSID,5006,5006,1,-86.0
1191,Evil Twin,539,539,1,-54.0
1193,Rogue SSID,825,825,1,-56.0
1195,Rogue SSID,1149,1149,1,-56.0
1197,Evil Twin,1601,1601,1,-59.0
1199,Evil Twin,2188,2188,1,-73.0
1201,Rogue SSID,2234,2234,1,-74.0
1203,Evil Twin,2542,2542,1,-73.0
1205,Evil Twin,6421,6421,1,-65.0
1207,Rogue SSID,6928,6928,1,-39.0
1209,Evil Twin,7344,7344,1,-56.0
1211,Evil Twin,7909,7909,1,-51.0
1213,Evil Twin,8040,8040,1,-56.0
1215,Evil Twin,8082,8082,1,-44.0
1217,Evil Twin,8477,8477,1,-34.0
1219,Evil Twin,339,339,1,-89.0
1221,Evil Twin,760,760,1,-81.0
1223,Rogue SSID,4740,4740,1,-93.0
1225,Rogue SSID,6295,6295,1,-48.0
1227,Evil Twin,6393,6393,1,-41.0
1229,Rogue SSID,6981,6981,1,-58.0
1231,Evil Twin,7631,7631,1,-29.0
1233,Evil Twin,8215,8215,1,-57.0
1235,Rogue SSID,8265,8265,1,-55.0
1237,Evil Twin,8410,8410,1,-29.0
1239,Evil Twin,9313,9313,1,-75.0
1241,Evil Twin,9625,9625,1,-74.0
1243,Evil Twin,4149,4149,1,-87.0
1245,Evil Twin,4455,4455,1,-80.0
1247,Rogue SSID,747,747,1,-75.0
1249,Rogue SSID,3134,3134,1,-73.0
1251,Rogue SSID,3399,3399,1,-68.0
1253,Evil Twin,4394,4394,1,-92.0
1255,Evil Twin,6148,6148,1,-66.0
1257,Evil Twin,9222,9222,1,-85.0
1259,Rogue SSID,9462,9462,1,-85.0
1261,Evil Twin,418,418,1,-73.0
1263,Evil Twin,5508,5508,1,-63.0
1265,Evil Twin,5657,5657,1,-79.0
1267,Evil Twin,5731,5731,1,-74.0
1269,Distributional Outlier,4452,4849,7,-78.8
1271,Evil Twin,5102,5102,1,-79.0
1273,Evil Twin,275,275,1,-63.0
1275,Rogue SSID,3136,3136,1,-69.0
1277,Rogue SSID,3578,3578,1,-71.0
